import time: self [us] | cumulative | imported package
import time:       214 |        214 |                   scipy.sparse.compressed
import time:       180 |        180 |                   scipy.sparse.construct
import time:       166 |        166 |                   scipy.sparse.coo
import time:       162 |        162 |                   scipy.sparse.csc
import time:       162 |        162 |                   scipy.sparse.csr
import time:       171 |        171 |                   scipy.sparse.data
import time:       160 |        160 |                   scipy.sparse.dia
import time:       167 |        167 |                   scipy.sparse.dok
import time:       159 |        159 |                   scipy.sparse.extract
import time:       162 |        162 |                   scipy.sparse.lil
import time:       158 |        158 |                   scipy.sparse.sparsetools
import time:       158 |        158 |                   scipy.sparse.sputils
import time:      1012 |      16331 |                 scipy.sparse
import time:      1449 |      17779 |               scipy.spatial._ckdtree
import time:       484 |      18263 |             scipy.spatial._kdtree
import time:       951 |        951 |               scipy._lib.messagestream
import time:      1578 |       2529 |             scipy.spatial._qhull
import time:      1008 |       1008 |               scipy.spatial._voronoi
import time:       344 |       1352 |             scipy.spatial._spherical_voronoi
import time:       240 |        240 |             scipy.spatial._plotutils
import time:       320 |        320 |             scipy.spatial._procrustes
import time:       887 |        887 |                 scipy.spatial._hausdorff
import time:      1399 |       1399 |                 scipy.spatial._distance_pybind
import time:       761 |        761 |                 scipy.spatial._distance_wrap
import time:      4868 |       7914 |               scipy.spatial.distance
import time:       225 |       8138 |             scipy.spatial._geometric_slerp
import time:       218 |        218 |             scipy.spatial.ckdtree
import time:       169 |        169 |             scipy.spatial.kdtree
import time:       159 |        159 |             scipy.spatial.qhull
import time:      1447 |       1447 |                 scipy.spatial.transform._rotation_cy
import time:       596 |        596 |                 scipy.spatial.transform._rotation_xp
import time:      6511 |       6511 |                     scipy.constants._codata
import time:      1189 |       1189 |                     scipy.constants._constants
import time:       183 |        183 |                     scipy.constants.codata
import time:       219 |        219 |                     scipy.constants.constants
import time:      1910 |      10010 |                   scipy.constants
import time:       261 |      10271 |                 scipy.spatial.transform._rotation_groups
import time:     12511 |      24823 |               scipy.spatial.transform._rotation
import time:      1020 |       1020 |                 scipy.spatial.transform._rigid_transform_cy
import time:       404 |        404 |                 scipy.spatial.transform._rigid_transform_xp
import time:      8454 |       9876 |               scipy.spatial.transform._rigid_transform
import time:       311 |        311 |               scipy.spatial.transform._rotation_spline
import time:       172 |        172 |               scipy.spatial.transform.rotation
import time:       285 |      35465 |             scipy.spatial.transform
import time:       420 |      67267 |           scipy.spatial
import time:       901 |        901 |                     scipy.interpolate._fitpack
import time:      1052 |       1052 |                     scipy.interpolate._dfitpack
import time:      1615 |       3567 |                   scipy.interpolate._fitpack_impl
import time:       674 |        674 |                               scipy.sparse.linalg._interface
import time:       210 |        210 |                               scipy.sparse.linalg._isolve.utils
import time:       425 |       1307 |                             scipy.sparse.linalg._isolve.iterative
import time:       232 |        232 |                             scipy.sparse.linalg._isolve.minres
